,review,rating
0,food normal transaction milky whiteclear substance food,1 star
1,mcdonald far food atmosphere staff difference friendly pleasant experience many fast food place,4 stars
2,mobile order speaker line leave d late work refund money back person system person next day manager,1 star
3,chicken sandwich customer service quick,5 stars
4,repeat order time thru mess large meal double filet fish large fry cheese close attention order work thru,1 star
5,work door dash long line reason door dash new job,1 star
6,location customer service simple order order regular cooky window pick pull space and25 minute order counter time young lady front counter young girl complaint short receipt minute order order drink counter person regular cooky location horrible experience time review,1 star
7,large coffee wno ice less half way full employee flor large coffee wno ice willing pay full cup coffee large sweet tea wno ice,1 star
8,thru piece nugget restaurant lady hard time extra sauce,1 star
9,huge fan fast food teenage daughter mcds staff friendly order correct good mcds appreciate quality service quality people least evening crew day girl joke food staff end order ready lmao great people excellent service,4 stars
10,bad mcdonald,1 star
11,quick breakfast crowded long order food item drink food item husband task word,2 stars
12,morning crew fast efficient night crew whole different experience hour long time occurrence bad nightly problem staff rude crash car building mistake order single time cold,1 star
13,today restaurant full order condiment big breakfast hot cake butter syrup utensil regular thing egg half size sausage,3 stars
14,food burger part order drink cup lid poor service girl handing order window pm,1 star
15,experience table dirty food minute chicken sandwich,2 stars
16,line ws big apple pie strawberry cream pie substitute cinnabun staff apologetic slow pie middle night understaffed,4 stars
17,boy wait saw wrong bag food disappointed,1 star
18,happy today strawberry banana smoothy hash brown smoothy straight ice water service smoothie fact kid corporate happy waste money,1 star
19,staff different little difficult state perpetual learning bit lobby well bathroom,4 stars
20,experience order taker employee order car order item minute ready response car order time ready pause excuse talk customer name review flat receipt handing credit card swipe card waiting receipt family car order tablet waive hand several time window receipt next window excuse next window food manager 720pm order intolerable,1 star
21,meh meh correct order tasty picky eater way menu item service industry year server bartender trainer order tedious time busy order correct leave time past year order exaggeration order large fry home bag d enjoy minute drive home little picture post least hot evening staff pleasant morning staff lot thinking talk people spanish open light puerto several complaint call email stress money wrong,1 star
22,caffeine staff drink hand professional,2 stars
23,bad meal nugget cold fry wait ask hungry meal homeless donation thru,1 star
24,card,1 star
25,proud broken ice cream machine planet drive ice cream lady,1 star
26,new upgrade great clean great staff,4 stars
27,,2 stars
28,mcdonald horrible service lazy employee unqualified people,1 star
