Unnamed: 0,review,rating,topic,topic_probability,topic_label,rating_number_only,sentiment
0,food normal transaction milky whiteclear substance food,1 star,2,0.5681256,"Overall good price, quality, service",1,negative
1,mcdonald far food atmosphere staff difference friendly pleasant experience many fast food place,4 stars,1,0.6115351,"Fast and quick service, clean place, friendly staff",4,positive
2,mobile order speaker line leave d late work refund money back person system person next day manager,1 star,4,0.7275384,"Long wait times, slow drive-thru",1,negative
3,chicken sandwich customer service quick,5 stars,1,0.5275055,"Fast and quick service, clean place, friendly staff",5,positive
4,repeat order time thru mess large meal double filet fish large fry cheese close attention order work thru,1 star,4,0.34266266,"Long wait times, slow drive-thru",1,negative
5,work door dash long line reason door dash new job,1 star,4,0.5086393,"Long wait times, slow drive-thru",1,negative
6,location customer service simple order order regular cooky window pick pull space and25 minute order counter time young lady front counter young girl complaint short receipt minute order order drink counter person regular cooky location horrible experience time review,1 star,0,0.69809437,"Bad service, wrong orders, rude staff",1,negative
7,large coffee wno ice less half way full employee flor large coffee wno ice willing pay full cup coffee large sweet tea wno ice,1 star,3,0.45241985,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
8,thru piece nugget restaurant lady hard time extra sauce,1 star,3,0.4894983,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
9,huge fan fast food teenage daughter mcds staff friendly order correct good mcds appreciate quality service quality people least evening crew day girl joke food staff end order ready lmao great people excellent service,4 stars,0,0.27351502,"Bad service, wrong orders, rude staff",4,positive
10,bad mcdonald,1 star,0,0.72022974,"Bad service, wrong orders, rude staff",1,negative
11,quick breakfast crowded long order food item drink food item husband task word,2 stars,4,0.47418392,"Long wait times, slow drive-thru",2,negative
12,morning crew fast efficient night crew whole different experience hour long time occurrence bad nightly problem staff rude crash car building mistake order single time cold,1 star,4,0.5402117,"Long wait times, slow drive-thru",1,negative
13,today restaurant full order condiment big breakfast hot cake butter syrup utensil regular thing egg half size sausage,3 stars,4,0.23645823,"Long wait times, slow drive-thru",3,neutral
14,food burger part order drink cup lid poor service girl handing order window pm,1 star,0,0.66423994,"Bad service, wrong orders, rude staff",1,negative
15,experience table dirty food minute chicken sandwich,2 stars,1,0.38413668,"Fast and quick service, clean place, friendly staff",2,negative
16,line ws big apple pie strawberry cream pie substitute cinnabun staff apologetic slow pie middle night understaffed,4 stars,4,0.35927734,"Long wait times, slow drive-thru",4,positive
17,boy wait saw wrong bag food disappointed,1 star,3,0.488276,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
18,happy today strawberry banana smoothy hash brown smoothy straight ice water service smoothie fact kid corporate happy waste money,1 star,0,0.5800365,"Bad service, wrong orders, rude staff",1,negative
19,staff different little difficult state perpetual learning bit lobby well bathroom,4 stars,4,0.48458606,"Long wait times, slow drive-thru",4,positive
20,experience order taker employee order car order item minute ready response car order time ready pause excuse talk customer name review flat receipt handing credit card swipe card waiting receipt family car order tablet waive hand several time window receipt next window excuse next window food manager 720pm order intolerable,1 star,0,0.66615367,"Bad service, wrong orders, rude staff",1,negative
21,meh meh correct order tasty picky eater way menu item service industry year server bartender trainer order tedious time busy order correct leave time past year order exaggeration order large fry home bag d enjoy minute drive home little picture post least hot evening staff pleasant morning staff lot thinking talk people spanish open light puerto several complaint call email stress money wrong,1 star,0,0.49929804,"Bad service, wrong orders, rude staff",1,negative
22,caffeine staff drink hand professional,2 stars,0,0.49445772,"Bad service, wrong orders, rude staff",2,negative
23,bad meal nugget cold fry wait ask hungry meal homeless donation thru,1 star,3,0.41751784,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
24,card,1 star,0,0.5833189,"Bad service, wrong orders, rude staff",1,negative
25,proud broken ice cream machine planet drive ice cream lady,1 star,0,0.61497694,"Bad service, wrong orders, rude staff",1,negative
26,new upgrade great clean great staff,4 stars,1,0.69442856,"Fast and quick service, clean place, friendly staff",4,positive
28,mcdonald horrible service lazy employee unqualified people,1 star,0,0.7255527,"Bad service, wrong orders, rude staff",1,negative
29,last time location look receipt plain sausage biscuit double quarter pounder,1 star,3,0.48898727,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
30,sarcasm minute wait drive room temperature caramel mocha full,1 star,4,0.5782845,"Long wait times, slow drive-thru",1,negative
31,location wack order people parking lot minute order dinner food multiple time right pinballz arcade parking lot line order menu change look mcdonald breakfast deluxe morning thank,2 stars,4,0.47473148,"Long wait times, slow drive-thru",2,negative
32,honor price extra pickle,1 star,3,0.7909111,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
33,minute mcdonald open window sure employee lobby window need mcdonald corporate power house reputation unprofessional experience fast food location,1 star,4,0.43944088,"Long wait times, slow drive-thru",1,negative
34,good great last long mean service fast attitude,2 stars,1,0.43944126,"Fast and quick service, clean place, friendly staff",2,negative
35,horrible store work general manger store supervisor work manger,1 star,4,0.41976988,"Long wait times, slow drive-thru",1,negative
36,3rd time,1 star,0,0.72041744,"Bad service, wrong orders, rude staff",1,negative
37,staff friendly job,5 stars,1,0.7913757,"Fast and quick service, clean place, friendly staff",5,positive
38,awesome service food hot good,5 stars,2,0.64025575,"Overall good price, quality, service",5,positive
39,large fry chicken deluxe sandwich pay window spicey chicken sandwich deluxe crispy chicken sandwich second time lettuce tomato order chicken sandwich deluxe crispy chicken,1 star,3,0.79912853,"Food quality issues (cold/old fries, burgers, nuggets)",1,negative
